dataset,num_series_train,num_series_test,separate_test,min_len,max_len,prediction_length,freq,has_missing,multivariate,num_static_feat,tsbench_failed
australian_electricity_demand,5,5,False,230688,232224,48,0.5H,False,False,1,False
bitcoin,17,17,False,2629,4551,30,D,True,False,1,False
car_parts,2658,2658,False,39,39,12,M,True,True,1,False
cif_2016,72,72,False,16,108,12,M,False,False,1,False
covid_deaths,230,230,False,182,182,30,D,False,True,1,False
exchange_rate,8,40,True,6071,6071,30,B,False,False,1,False
fred_md,107,107,False,716,716,12,M,False,True,1,False
hospital,767,767,False,72,72,12,M,False,True,1,False
kdd_2018,270,270,False,9456,10872,48,H,True,False,1,False
m1_monthly,617,617,False,30,132,18,M,False,False,1,False
m1_quarterly,203,203,False,10,106,8,Q,False,False,1,False
m1_yearly,181,181,False,9,52,6,Y,False,False,1,False
m3_monthly,1428,1428,False,48,126,18,M,False,False,2,False
m3_other,174,174,False,63,96,8,Q,False,False,2,False
m3_quarterly,756,756,False,16,64,8,Q,False,False,2,False
m3_yearly,645,645,False,14,41,6,Y,False,False,2,False
m4_hourly,414,414,False,700,960,48,H,False,False,1,False
m4_quarterly,24000,24000,False,16,866,8,Q,False,False,1,False
m4_weekly,359,359,False,80,2597,13,W,False,False,1,False
m4_yearly,22974,22974,False,13,278,6,Y,False,False,1,False
nn5,111,111,False,735,735,56,D,True,True,1,False
pedestrian_count,66,66,False,528,96376,48,H,False,False,1,False
rideshare,2304,2304,False,493,493,48,H,True,True,1,False
solar,137,959,True,7009,7009,24,H,False,True,1,False
temperature_rain,32053,32053,False,695,695,30,D,True,True,1,False
tourism_monthly,366,366,False,67,309,24,M,False,False,1,False
tourism_quarterly,427,427,False,22,122,8,Q,False,False,1,False
tourism_yearly,518,518,False,7,43,4,Y,False,False,1,False
vehicle_trips,314,314,False,40,213,30,D,True,False,1,False
corporacion_favorita,171091,171091,False,19,1672,16,D,False,False,2,True
dominick,115163,115163,False,20,385,8,W,False,False,1,True
electricity,321,2247,True,21044,21044,24,1H,False,True,1,True
london_smart_meters,5559,5559,False,240,39600,48,0.5H,True,False,1,True
m4_daily,4227,4227,False,93,9919,14,D,False,False,1,True
m4_monthly,48000,48000,False,42,2794,18,M,False,False,1,True
m5,30490,30490,False,1885,1885,28,D,False,False,5,True
restaurant,823,823,False,42,439,39,D,False,False,1,True
rossmann,1115,1115,False,710,894,48,D,False,False,1,True
san_francisco_traffic,862,862,False,17496,17496,48,H,False,True,1,True
taxi,1214,67984,True,1488,1488,24,30min,False,False,1,True
walmart,2934,2934,False,42,104,39,W,False,False,2,True
weather,3010,3010,False,1302,65951,30,D,False,False,1,True
wiki,9535,47675,True,762,762,30,D,False,False,1,True
wind_farms,313,313,False,102845,526980,60,min,True,False,1,True
